date,month,year,period_id,res_share,fossil_share,market_price,price_volatility,energy_consumption,system_stability,crisis_flag
2015-01-31 00:00:00+00:00,1,2015,1,0.2083877181605729,0.24006895950242874,31.0468875192604,13.32866766243117,45463085.13,0.0848555416909185,0
2015-02-28 00:00:00+00:00,2,2015,2,0.1702178968738015,0.2781482074524751,36.69418154761905,12.582659746802426,42389384.01,0.08401282837295129,0
2015-03-31 00:00:00+00:00,3,2015,3,0.20122836823812118,0.25320080207076706,31.297836021505375,13.006351249848962,44669838.94,0.05485580637676386,0
2015-04-30 00:00:00+00:00,4,2015,4,0.21876359176493232,0.23344776489945365,29.778597222222224,13.159750510378323,40211030.9675,0.044302663783358384,0
2015-05-31 00:00:00+00:00,5,2015,5,0.24338849615288757,0.20560279686030022,25.330389784946238,9.97032242148541,39429947.96,0.046728527958944784,0
2015-06-30 00:00:00+00:00,6,2015,6,0.21882199062126953,0.23543417601941719,30.109736111111108,8.546970430883643,39278161.625,0.08344043512490305,0
2015-07-31 00:00:00+00:00,7,2015,7,0.2258330742643072,0.24011725321684158,34.97967741935484,12.506934352368514,41387705.6525,0.04489284246687968,0
2015-08-31 00:00:00+00:00,8,2015,8,0.19789704862443486,0.25414656173702715,31.61340053763441,9.09246419348895,40015925.715,0.03267298875292443,0
2015-09-30 00:00:00+00:00,9,2015,9,0.18813600889350837,0.2653771781317461,31.88861111111111,11.46855587543726,40364368.6325,0.03877995843309785,0
2015-10-31 00:00:00+00:00,10,2015,10,0.1544184335205328,0.3034206304680295,39.368897849462364,11.351972080482982,42788168.755,0.0601135519944125,0
2015-11-30 00:00:00+00:00,11,2015,11,0.21374134998651845,0.2412478789983826,32.381680555555555,13.920269342316107,43475271.655,0.059419848407498185,0
2015-12-31 00:00:00+00:00,12,2015,12,0.2276252465498694,0.22601901695571847,27.785564516129032,13.190402694158193,42518295.4425,0.04661154975114332,0
2016-01-31 00:00:00+00:00,1,2016,13,0.19462571584264346,0.259210665131448,29.025376344086023,13.306208080389851,45063429.7425,0.08072044184530558,0
2016-02-29 00:00:00+00:00,2,2016,14,0.218981609327741,0.23529799060179887,21.998419540229886,9.466045436378844,42924838.2725,0.06788152787823863,0
2016-03-31 00:00:00+00:00,3,2016,15,0.19313732024241553,0.25744486489188895,24.299059139784948,8.120533379689823,43862036.3625,0.06430290604066967,0
2016-04-30 00:00:00+00:00,4,2016,16,0.21912764967311274,0.24631830473050254,24.210125,5.855370095488933,40605027.745,0.07227428692200304,0
2016-05-31 00:00:00+00:00,5,2016,17,0.2422068248114019,0.22455767183026615,22.550860215053763,13.553637816015629,40194200.9125,0.06953459418398299,0
2016-06-30 00:00:00+00:00,6,2016,18,0.21045083360973868,0.24713882860325284,27.70463888888889,6.899245681099179,39721830.095,0.052506743109294374,0
2016-07-31 00:00:00+00:00,7,2016,19,0.22196184038708353,0.23688991870306378,27.181115591397848,7.240736094104467,40551013.88,0.047246196152485584,0
2016-08-31 00:00:00+00:00,8,2016,20,0.21771766240079657,0.23589330357960567,27.18172043010753,7.255018590473433,40169548.94,0.051453736950334804,0
2016-09-30 00:00:00+00:00,9,2016,21,0.19141513032274562,0.26335896348757126,30.51076388888889,7.8963128910776135,39455653.96,0.03845612421169492,0
2016-10-31 00:00:00+00:00,10,2016,22,0.17602188432173152,0.27388040813574094,37.14176075268817,9.65911154257696,42321776.105,0.05705416963058683,0
2016-11-30 00:00:00+00:00,11,2016,23,0.18977156427534592,0.26415897044607645,38.21348611111111,13.875666343676286,44504877.43,0.05946760286620558,0
2016-12-31 00:00:00+00:00,12,2016,24,0.20255079618060476,0.2586991561672568,37.47005376344086,21.06265438370839,44541052.535,0.06639856188322936,0
2017-01-31 00:00:00+00:00,1,2017,25,0.1735406116378007,0.29071154812149647,52.40514784946237,25.7946784808873,47416203.2775,0.07083997036213048,0
2017-02-28 00:00:00+00:00,2,2017,26,0.21671848724461432,0.25232886638447294,39.68098214285714,16.050612458277758,42245232.355,0.03333937931872543,0
2017-03-31 00:00:00+00:00,3,2017,27,0.2305423487995618,0.2379537231296587,31.69116935483871,9.69186016940432,44511975.15,0.03735875953147784,0
2017-04-30 00:00:00+00:00,4,2017,28,0.23918928480937596,0.22774352999373298,28.721180555555556,13.797282104034618,40050487.2425,0.050293236647697165,0
2017-05-31 00:00:00+00:00,5,2017,29,0.22430732406831766,0.23723863854308494,30.61010752688172,13.594089602779414,41101667.165,0.03889357166904112,0
2017-06-30 00:00:00+00:00,6,2017,30,0.24780162072635017,0.2089722657840477,30.004180555555553,9.610914541612892,39391393.35,0.02629007015358413,0
2017-07-31 00:00:00+00:00,7,2017,31,0.22587414695062,0.23584418937231102,33.00557795698925,9.912024764293397,40517702.0025,0.022369239925853893,0
2017-08-31 00:00:00+00:00,8,2017,32,0.22296397741355528,0.22731117867064407,30.855887096774193,9.722287061140198,40168419.5375,0.033016715538545474,0
2017-09-30 00:00:00+00:00,9,2017,33,0.21163887879141818,0.24362459442429418,34.298097222222225,10.496967738411126,39960067.3,0.048204127612265196,0
2017-10-31 00:00:00+00:00,10,2017,34,0.25390458722378434,0.20040083842158257,28.28865591397849,23.319214394305455,42434228.4725,0.04356741106989173,0
2017-11-30 00:00:00+00:00,11,2017,35,0.2121728345871189,0.2440510521076872,40.379000000000005,20.110381375156514,44212582.9725,0.03571745304382515,0
2017-12-31 00:00:00+00:00,12,2017,36,0.25418838242284947,0.20200724281009583,30.710497311827957,21.728757579380016,44767963.0125,0.035659338298556414,0
2018-01-31 00:00:00+00:00,1,2018,37,0.2417240261469861,0.22061917207132917,29.500860215053763,18.796007373974568,46513048.0,0.03934236301171149,0
2018-02-28 00:00:00+00:00,2,2018,38,0.1847756444177364,0.27916523381574143,40.122767857142854,12.07789226016961,42968676.0125,0.03741108089566897,0
2018-03-31 00:00:00+00:00,3,2018,39,0.21481925244708366,0.2505942123846832,37.35938172043011,16.057597687493395,46033720.735,0.04146264858655375,0
2018-04-30 00:00:00+00:00,4,2018,40,0.257441506447765,0.20902055598633998,31.96075,11.639414776916226,40210839.3375,0.04029517940864887,0
2018-05-31 00:00:00+00:00,5,2018,41,0.2592997693429017,0.20833684548386563,33.65854838709677,14.970789666769294,40543238.8025,0.03363773377495207,0
2018-06-30 00:00:00+00:00,6,2018,42,0.2248420830537665,0.23732957834559343,42.39336111111111,11.356604094502218,40314663.2375,0.02972876595943352,0
2018-07-31 00:00:00+00:00,7,2018,43,0.2012240025406743,0.2602712390383451,49.589704301075265,9.21855381835711,40956790.1925,0.023801451690655312,0
2018-08-31 00:00:00+00:00,8,2018,44,0.2142981723878964,0.24470279993442653,56.215537634408605,10.906203266815696,41200929.76,0.02106996351740406,0
2018-09-30 00:00:00+00:00,9,2018,45,0.22505385615818269,0.23977551420305943,54.826699164345406,15.64148710755699,40207458.4125,0.027673133155135282,0
2018-10-31 00:00:00+00:00,10,2018,46,0.2239665181324106,0.24294720285386318,53.082123655913975,19.19758581181982,43142489.37,0.03479634459747888,0
2018-11-30 00:00:00+00:00,11,2018,47,0.19798515087064705,0.26483171208985257,56.68083333333333,14.836352185602886,43565623.9825,0.030466061732365053,0
2018-12-31 00:00:00+00:00,12,2018,48,0.2427830088663066,0.21828735164080587,48.110604838709676,20.250300964076974,43554133.54,0.04165197173267281,0
2019-01-31 00:00:00+00:00,1,2019,49,0.22633170947783512,0.2378944227510103,49.413844086021506,22.26267477862156,46441787.625,0.04942608339721947,0
2019-02-28 00:00:00+00:00,2,2019,50,0.22487628970519327,0.2374475805895145,42.814613095238094,11.945543919060883,41345765.525,0.03128045354261563,0
2019-03-31 00:00:00+00:00,3,2019,51,0.29040233607982496,0.1712066261541521,30.614852150537637,15.355038137679927,43698806.665,0.039405817694238704,0
2019-04-30 00:00:00+00:00,4,2019,52,0.2585065368326165,0.20473800984740217,36.97281944444445,14.95582063145056,39486474.0925,0.05162742672566878,0
2019-05-31 00:00:00+00:00,5,2019,53,0.26240685541634495,0.2061639881446732,37.83208333333333,11.17137132927854,40623312.235,0.05989582894522025,0
2019-06-30 00:00:00+00:00,6,2019,54,0.27602779408195194,0.19093600201813712,32.50445833333333,19.829744533746368,38124732.9,0.04725649948970626,0
2019-07-31 00:00:00+00:00,7,2019,55,0.24411883593237296,0.2191359626951157,39.71306451612903,9.088060305974986,40926761.9,0.022503893336353196,0
2019-08-31 00:00:00+00:00,8,2019,56,0.24412064138890013,0.21702134598313536,36.81869623655914,12.65942588915471,39544047.705,0.03201500059779352,0
2019-09-30 00:00:00+00:00,9,2019,57,0.2562010608843719,0.20404349931484858,35.76566666666667,12.493950807779123,39409325.805,0.03780400842607105,0
2019-10-31 00:00:00+00:00,10,2019,58,0.24585970303930998,0.21336669249790008,36.94754032258065,12.795800391924438,42325331.1775,0.04144062461319738,0
2019-11-30 00:00:00+00:00,11,2019,59,0.20813643493209816,0.2525374028306653,41.00483333333333,11.310446017897926,43015482.2875,0.04775476395687612,0
2019-12-31 00:00:00+00:00,12,2019,60,0.2723513113722134,0.18778332639971757,31.97061827956989,16.869454996082723,42415338.1475,0.03890946456688427,0
2020-01-31 00:00:00+00:00,1,2020,61,0.2598399310703038,0.20737557628102626,34.97870967741935,11.572188301026516,45322695.85,0.0430888216218165,0
2020-02-29 00:00:00+00:00,2,2020,62,0.32841428334768147,0.14077939788472874,21.91183908045977,16.065569549762017,43123250.9925,0.03266819259326992,0
2020-03-31 00:00:00+00:00,3,2020,63,0.3017414891484044,0.16486859782817986,22.519314516129032,13.804865632879658,42895544.785,0.03305965129643819,1
2020-04-30 00:00:00+00:00,4,2020,64,0.32478521848190195,0.1395803630193562,17.049194444444446,16.637681645360775,36503883.86,0.02749832829495549,1
