Start date;End date;Volume (+) [MWh] Calculated resolutions;Volume (-) [MWh] Calculated resolutions;Price [€/MWh] Calculated resolutions;Net income [€] Original resolutions
Oct 1, 2020;Nov 1, 2020;145,469.00;-113,377.00;36.58;13,848,496.97
Nov 1, 2020;Dec 1, 2020;129,166.00;-93,133.00;43.36;0.00
Dec 1, 2020;Jan 1, 2021;122,941.00;-117,406.00;53.04;32,784,948.09
Jan 1, 2021;Feb 1, 2021;131,267.00;-113,817.00;56.76;14,379,068.50
Feb 1, 2021;Mar 1, 2021;121,479.00;-111,407.00;51.10;14,209,903.63
Mar 1, 2021;Apr 1, 2021;130,214.00;-117,705.00;47.21;12,320,909.56
Apr 1, 2021;May 1, 2021;129,121.00;-131,931.00;64.90;21,667,446.43
May 1, 2021;Jun 1, 2021;148,848.00;-132,293.00;55.51;18,673,805.83
Jun 1, 2021;Jul 1, 2021;179,787.00;-74,483.00;84.44;25,893,162.72
Jul 1, 2021;Aug 1, 2021;136,346.00;-96,250.00;82.08;15,049,741.12
Aug 1, 2021;Sep 1, 2021;140,771.00;-96,999.00;79.97;14,708,568.31
Sep 1, 2021;Oct 1, 2021;122,718.00;-104,423.00;127.32;17,539,596.87
Oct 1, 2021;Nov 1, 2021;88,767.00;-203,165.00;147.04;35,266,653.17
Nov 1, 2021;Dec 1, 2021;132,606.00;-105,300.00;183.66;36,570,161.77
Dec 1, 2021;Jan 1, 2022;133,811.00;-114,747.00;230.11;47,581,884.80
Jan 1, 2022;Feb 1, 2022;143,582.00;-119,738.00;193.64;46,518,557.38
Feb 1, 2022;Mar 1, 2022;89,461.00;-167,084.00;110.00;31,692,648.43
Mar 1, 2022;Apr 1, 2022;95,195.00;-154,246.00;182.96;87,843,716.95
Apr 1, 2022;May 1, 2022;133,289.00;-151,273.00;143.05;62,554,535.89
May 1, 2022;Jun 1, 2022;198,501.00;-163,907.00;164.01;33,975,385.18
Jun 1, 2022;Jul 1, 2022;269,602.00;-163,115.00;263.65;87,688,528.72
Jul 1, 2022;Aug 1, 2022;148,222.00;-106,020.00;304.60;92,254,480.55
Aug 1, 2022;Sep 1, 2022;136,483.00;-96,849.00;423.00;110,265,236.07
Sep 1, 2022;Oct 1, 2022;-;-;281.44;70,485,459.40
Oct 1, 2022;Nov 1, 2022;-;-;143.22;49,360,352.08
Nov 1, 2022;Dec 1, 2022;-;-;150.05;33,541,245.65
Dec 1, 2022;Jan 1, 2023;-;-;235.21;70,414,660.18
Jan 1, 2023;Feb 1, 2023;-;-;113.41;31,482,015.50
Feb 1, 2023;Mar 1, 2023;-;-;98.13;16,490,765.71
Mar 1, 2023;Apr 1, 2023;-;-;109.64;45,280,436.90
Apr 1, 2023;May 1, 2023;-;-;83.51;59,683,914.24
May 1, 2023;Jun 1, 2023;-;-;80.45;31,214,963.61
Jun 1, 2023;Jul 1, 2023;-;-;109.69;25,379,662.01
Jul 1, 2023;Aug 1, 2023;-;-;67.87;24,550,396.32
Aug 1, 2023;Sep 1, 2023;-;-;109.35;29,340,367.73
Sep 1, 2023;Oct 1, 2023;-;-;93.21;15,806,248.52
Oct 1, 2023;Nov 1, 2023;-;-;98.05;20,839,882.68
Nov 1, 2023;Dec 1, 2023;-;-;101.26;18,315,916.84
Dec 1, 2023;Jan 1, 2024;-;-;83.65;24,263,991.81
Jan 1, 2024;Feb 1, 2024;-;-;87.01;25,546,048.92
Feb 1, 2024;Mar 1, 2024;-;-;60.41;8,447,687.14
Mar 1, 2024;Apr 1, 2024;-;-;63.50;20,182,626.70
Apr 1, 2024;May 1, 2024;-;-;52.97;29,489,872.77
May 1, 2024;Jun 1, 2024;-;-;60.87;26,469,601.15
Jun 1, 2024;Jul 1, 2024;-;-;116.86;51,961,129.81
Jul 1, 2024;Aug 1, 2024;-;-;79.41;28,197,761.33
Aug 1, 2024;Sep 1, 2024;-;-;93.38;30,164,196.44
Sep 1, 2024;Oct 1, 2024;-;-;84.20;27,665,743.68
Oct 1, 2024;Nov 1, 2024;-;-;86.06;18,119,248.28
Nov 1, 2024;Dec 1, 2024;-;-;115.03;20,987,579.87
Dec 1, 2024;Jan 1, 2025;-;-;128.72;31,121,201.83
Jan 1, 2025;Feb 1, 2025;-;-;119.52;23,043,378.56
Feb 1, 2025;Mar 1, 2025;-;-;126.62;14,731,193.83
Mar 1, 2025;Apr 1, 2025;-;-;85.06;-
Apr 1, 2025;May 1, 2025;-;-;67.13;-
May 1, 2025;Jun 1, 2025;-;-;66.75;-
Jun 1, 2025;Jul 1, 2025;-;-;74.86;17,929,141.22
Jul 1, 2025;Aug 1, 2025;-;-;88.65;11,103,715.95
Aug 1, 2025;Sep 1, 2025;-;-;79.66;-
Sep 1, 2025;Oct 1, 2025;-;-;95.12;-
Oct 1, 2025;Nov 1, 2025;-;-;84.74;-
Nov 1, 2025;Dec 1, 2025;-;-;-;-
Dec 1, 2025;Jan 1, 2026;-;-;-;-
